"","Plate","Well","Culture","State","N_ug_L","gr_PC_mean","gr_pc_se_corrected","p.value","growthrate_corrected"
"1",12,"E2","MUT_7806","Axenic",8,0.369364653857573,0,NA,0
"2",13,"C4","MUT_7806","Axenic",8,0.406867838170081,0,NA,0
"3",14,"D7","MUT_7806","Axenic",8,0.315472753158136,0,NA,0
"4",13,"D3","MUT_7806","Axenic",40.5,0.320464305816048,0,0.0199492700260207,0
"5",15,"C4","MUT_7806","Axenic",40.5,0.271066945513103,0,0.0199492700260207,0
"6",19,"B6","MUT_7806","Axenic",40.5,0.224438535063195,0,0.0199492700260207,0
"7",14,"B3","MUT_7806","Axenic",87,0.293678913612891,0,NA,0
"8",18,"C7","MUT_7806","Axenic",87,0.528607958299325,0,NA,0
"9",19,"C5","MUT_7806","Axenic",87,0.303270152601694,0,NA,0
"10",12,"E5","MUT_7806","Axenic",425,0.5122875869089,0.0707113704582056,0.000945601561060443,0.5122875869089
"11",15,"D6","MUT_7806","Axenic",425,0.418689690489353,0.0549961601958861,0.000945601561060443,0.418689690489353
"12",16,"E2","MUT_7806","Axenic",425,0.512021176840869,0.136790993128022,0.000945601561060443,0.512021176840869
"13",16,"E7","MUT_7806","Axenic",883,0.358462832526884,0,NA,0
"14",17,"D2","MUT_7806","Axenic",883,0.362957866120562,0,NA,0
"15",18,"D4","MUT_7806","Axenic",883,0.381888026363969,0,NA,0
"16",12,"D7","MUT_7806","Axenic",2760,0.582439058058384,0.125730773916303,0.000678510624809295,0.582439058058384
"17",15,"E2","MUT_7806","Axenic",2760,0.583736307707034,0.0914926913382855,0.000678510624809295,0.583736307707034
"18",17,"C4","MUT_7806","Axenic",2760,0.587238795036096,0.122612446547157,0.000678510624809295,0.587238795036096
"19",13,"C6","MUT_7806","Axenic",14150,0.512648926007689,0.0574810600435918,0.0004134296901872,0.512648926007689
"20",16,"B5","MUT_7806","Axenic",14150,0.534628270980787,0.0977156622300671,0.0004134296901872,0.534628270980787
"21",19,"D2","MUT_7806","Axenic",14150,0.492757714551581,0.0144858366553652,0.0004134296901872,0.492757714551581
"22",14,"D5","MUT_7806","Axenic",30500,0.579463494190805,0.111287837908232,0.000296412137842732,0.579463494190805
"23",17,"B7","MUT_7806","Axenic",30500,0.544245749070979,0.0764158254696898,0.000296412137842732,0.544245749070979
"24",18,"C3","MUT_7806","Axenic",30500,0.652440118025478,0.114233583590713,0.000296412137842732,0.652440118025478
"25",12,"B3","MUT_7806","Xenic",8,0.2572928566647,0,0.161609817022788,0
"26",13,"B5","MUT_7806","Xenic",8,0.373890285419658,0,0.161609817022788,0
"27",14,"C7","MUT_7806","Xenic",8,0.425849307528836,0,0.161609817022788,0
