"","Culture","State","P_ug_L","Plate","Well","Treatment_name","gr_chlA_mean","gr_PC_mean","gr_chlA_sd","gr_pc_sd","n_obs","gr_chlA_se","gr_pc_se","chlA_upper_cl","chlA_lower_cl","pc_upper_cl","pc_lower_cl","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","slope","growthrate_corrected","gr_pc_se_corrected"
"1","MUT_7806","Axenic",1.1,20,"E2","A_MUT_1P",0.036518148920498,0.181259444630647,0.182736403020551,0.111550033146527,5,0.0817222038235499,0.0498866914015978,0.118240352744048,-0.0452040549030519,0.231146136032245,0.131372753229049,0.0747880096285684,0.0650735140974564,-0.00971449553111195,4.80532725611273,0.0193597639235154,2.05068269429772,0.0300994164069402,Inf,"Welch Two Sample t-test","greater",0.0650735140974564,0,0
"2","MUT_7806","Axenic",1.1,22,"D7","A_MUT_1P",0.0441640375380216,0.201855846035771,0.294999777704227,0.158074867003655,5,0.131927911258796,0.0706932296308822,0.176091948796817,-0.0877638737207739,0.272549075666653,0.131162616404888,0.0747880096285684,0.0650735140974564,-0.00971449553111195,4.80532725611273,0.0193597639235154,2.05068269429772,0.0300994164069402,Inf,"Welch Two Sample t-test","greater",0.0650735140974564,0,0
"3","MUT_7806","Axenic",1.1,28,"C5","A_MUT_1P",-0.0953577982700261,0.267249912306104,0.156519858273419,0.143117206086022,5,0.0699978085855996,0.0640039603116383,-0.0253599896844265,-0.165355606855626,0.331253872617743,0.203245951994466,0.0747880096285684,0.0650735140974564,-0.00971449553111195,4.80532725611273,0.0193597639235154,2.05068269429772,0.0300994164069402,Inf,"Welch Two Sample t-test","greater",0.0650735140974564,0,0
"4","MUT_7806","Axenic",9.6,21,"D3","A_MUT_10P",0.285152490201892,0.545069304073641,0.118849113065441,0.0830384740059317,5,0.0531509391759771,0.0371359345250225,0.338303429377869,0.232001551025915,0.582205238598663,0.507933369548618,0.302241525541947,0.292527030010835,-0.00971449553111195,58.1733987506093,2.50960974160361e-05,2.53188537599428,0.289035556806492,Inf,"Welch Two Sample t-test","greater",0.292527030010835,0.545069304073641,0.0371359345250225
"5","MUT_7806","Axenic",9.6,23,"C4","A_MUT_10P",0.262961317665766,0.498474757641486,0.408554004183055,0.148631964900902,5,0.182710905166609,0.0664702354295561,0.445672222832376,0.0802504124991574,0.564944993071042,0.43200452221193,0.302241525541947,0.292527030010835,-0.00971449553111195,58.1733987506093,2.50960974160361e-05,2.53188537599428,0.289035556806492,Inf,"Welch Two Sample t-test","greater",0.292527030010835,0.498474757641486,0.0664702354295561
"6","MUT_7806","Axenic",9.6,27,"B6","A_MUT_10P",0.264744913269649,0.477049918346262,0.160191943990687,0.104566670278547,5,0.071640015242203,0.0467636365847275,0.336384928511852,0.193104898027446,0.523813554930989,0.430286281761534,0.302241525541947,0.292527030010835,-0.00971449553111195,58.1733987506093,2.50960974160361e-05,2.53188537599428,0.289035556806492,Inf,"Welch Two Sample t-test","greater",0.292527030010835,0.477049918346262,0.0467636365847275
"7","MUT_7806","Axenic",18.7,20,"E5","A_MUT_19P",0.279689407765819,0.520649496743,0.404050749827628,0.213608686041842,5,0.180696988594868,0.095528708514794,0.460386396360687,0.0989924191709517,0.616178205257794,0.425120788228206,0.335383217878252,0.32566872234714,-0.00971449553111195,77.954973804,3.94874049941146e-06,2.84721746086188,0.325033038509433,Inf,"Welch Two Sample t-test","greater",0.32566872234714,0.520649496743,0.095528708514794
"8","MUT_7806","Axenic",18.7,23,"D6","A_MUT_19P",0.196490255512052,0.482516888454425,0.389804320010842,0.0735034647430081,5,0.174325791493465,0.032871748749425,0.370816047005517,0.0221644640185875,0.51538863720385,0.449645139705,0.335383217878252,0.32566872234714,-0.00971449553111195,77.954973804,3.94874049941146e-06,2.84721746086188,0.325033038509433,Inf,"Welch Two Sample t-test","greater",0.32566872234714,0.482516888454425,0.032871748749425
"9","MUT_7806","Axenic",18.7,24,"E2","A_MUT_19P",0.187462435162112,0.468532243616422,0.178135712370166,0.124661003710928,5,0.0796647124160081,0.0557500956881977,0.267127147578121,0.107797722746104,0.52428233930462,0.412782147928224,0.335383217878252,0.32566872234714,-0.00971449553111195,77.954973804,3.94874049941146e-06,2.84721746086188,0.325033038509433,Inf,"Welch Two Sample t-test","greater",0.32566872234714,0.468532243616422,0.0557500956881977
"10","MUT_7806","Axenic",47.6,20,"D7","A_MUT_48P",0.106659538249431,0.514300709815495,0.162484734081339,0.178179257247361,5,0.0726653821423704,0.0796841862771041,0.179324920391801,0.0339941561070601,0.593984896092599,0.434616523538391,0.321610660504134,0.311896164973022,-0.00971449553111195,6.5114206826343,0.0113207563815388,2.00494942356108,0.177629880754253,Inf,"Welch Two Sample t-test","greater",0.311896164973022,0.514300709815495,0.0796841862771041
"11","MUT_7806","Axenic",47.6,23,"E2","A_MUT_48P",0.324651925202329,0.50733799678685,0.101857436269161,0.194944051358519,5,0.0455520303023395,0.0871816301293716,0.370203955504669,0.27909989489999,0.594519626916222,0.420156366657479,0.321610660504134,0.311896164973022,-0.00971449553111195,6.5114206826343,0.0113207563815388,2.00494942356108,0.177629880754253,Inf,"Welch Two Sample t-test","greater",0.311896164973022,0.50733799678685,0.0871816301293716
"12","MUT_7806","Axenic",47.6,25,"C4","A_MUT_48P",0.276541628345392,0.536490536789201,0.222697123297772,0.108064396750531,5,0.0995931812174942,0.0483278674163391,0.376134809562886,0.176948447127898,0.58481840420554,0.488162669372862,0.321610660504134,0.311896164973022,-0.00971449553111195,6.5114206826343,0.0113207563815388,2.00494942356108,0.177629880754253,Inf,"Welch Two Sample t-test","greater",0.311896164973022,0.536490536789201,0.0483278674163391
"13","MUT_7806","Axenic",100,22,"B3","A_MUT_100P",0.322131005396967,0.54456653126309,0.14799996322693,0.117635310533933,5,0.0661875956885768,0.0526081101816341,0.388318601085544,0.255943409708391,0.597174641444724,0.491958421081456,0.394510207299084,0.384795711767972,-0.00971449553111195,164.63085703928,3.80964139467602e-16,8.27703939427751,0.3900733715184,Inf,"Welch Two Sample t-test","greater",0.384795711767972,0.54456653126309,0.0526081101816341
"14","MUT_7806","Axenic",100,26,"C7","A_MUT_100P",0.263707354873675,0.568737608386396,0.245828028019669,0.125778565245256,5,0.10993763628534,0.056249884400157,0.373644991159015,0.153769718588334,0.624987492786553,0.512487723986239,0.394510207299084,0.384795711767972,-0.00971449553111195,164.63085703928,3.80964139467602e-16,8.27703939427751,0.3900733715184,Inf,"Welch Two Sample t-test","greater",0.384795711767972,0.568737608386396,0.056249884400157
