Treatment_name,Well,Plate,Culture,State,Media type,P_ug_L,N_ug_L
A_9701_0N,B2,12,PCC_9701,Axenic,COMBO,1551,8.00
A_9701_0N,D4,13,PCC_9701,Axenic,COMBO,1551,8.00
A_9701_0N,E7,14,PCC_9701,Axenic,COMBO,1551,8.00
A_9701_1000N,C7,16,PCC_9701,Axenic,COMBO,1551,883.00
A_9701_1000N,E3,17,PCC_9701,Axenic,COMBO,1551,883.00
A_9701_1000N,D5,18,PCC_9701,Axenic,COMBO,1551,883.00
A_9701_100N,B2,14,PCC_9701,Axenic,COMBO,1551,87.00
A_9701_100N,E6,18,PCC_9701,Axenic,COMBO,1551,87.00
A_9701_100N,D4,19,PCC_9701,Axenic,COMBO,1551,87.00
A_9701_14150N,B6,13,PCC_9701,Axenic,COMBO,1551,14150.00
A_9701_14150N,E5,16,PCC_9701,Axenic,COMBO,1551,14150.00
A_9701_14150N,B3,19,PCC_9701,Axenic,COMBO,1551,14150.00
A_9701_2950N,C6,12,PCC_9701,Axenic,COMBO,1551,2760.00
A_9701_2950N,E3,15,PCC_9701,Axenic,COMBO,1551,2760.00
A_9701_2950N,B4,17,PCC_9701,Axenic,COMBO,1551,2760.00
A_9701_30500N,B5,14,PCC_9701,Axenic,COMBO,1551,30500.00
A_9701_30500N,B6,17,PCC_9701,Axenic,COMBO,1551,30500.00
A_9701_30500N,D2,18,PCC_9701,Axenic,COMBO,1551,30500.00
A_9701_40N,B3,13,PCC_9701,Axenic,COMBO,1551,40.50
A_9701_40N,E5,15,PCC_9701,Axenic,COMBO,1551,40.50
A_9701_40N,D6,19,PCC_9701,Axenic,COMBO,1551,40.50
A_9701_425N,C5,12,PCC_9701,Axenic,COMBO,1551,425.00
A_9701_425N,C7,15,PCC_9701,Axenic,COMBO,1551,425.00
A_9701_425N,D2,16,PCC_9701,Axenic,COMBO,1551,425.00
A_MUT_0N,E2,12,MUT_7806,Axenic,COMBO,1551,8.00
A_MUT_0N,C4,13,MUT_7806,Axenic,COMBO,1551,8.00
A_MUT_0N,D7,14,MUT_7806,Axenic,COMBO,1551,8.00
A_MUT_1000N,E7,16,MUT_7806,Axenic,COMBO,1551,883.00
A_MUT_1000N,D2,17,MUT_7806,Axenic,COMBO,1551,883.00
A_MUT_1000N,D4,18,MUT_7806,Axenic,COMBO,1551,883.00
A_MUT_100N,B3,14,MUT_7806,Axenic,COMBO,1551,87.00
A_MUT_100N,C7,18,MUT_7806,Axenic,COMBO,1551,87.00
A_MUT_100N,C5,19,MUT_7806,Axenic,COMBO,1551,87.00
A_MUT_14150N,C6,13,MUT_7806,Axenic,COMBO,1551,14150.00
A_MUT_14150N,B5,16,MUT_7806,Axenic,COMBO,1551,14150.00
A_MUT_14150N,D2,19,MUT_7806,Axenic,COMBO,1551,14150.00
A_MUT_2950N,D7,12,MUT_7806,Axenic,COMBO,1551,2760.00
A_MUT_2950N,E2,15,MUT_7806,Axenic,COMBO,1551,2760.00
A_MUT_2950N,C4,17,MUT_7806,Axenic,COMBO,1551,2760.00
A_MUT_30500N,D5,14,MUT_7806,Axenic,COMBO,1551,30500.00
