"","p_well","Well","Plate","Treatment_name","Culture","State","N_ug_L","chlA_150","chlA_150_true","PC_100","PC_100_true","read_day","read_time","read_timeDays","growthrate_PC","growthrate_chlA"
"1","12_B1","B1",12,"BLANK","Media_CTRL",NA,NA,11.1,12.1,1.31,2.31,0,2021-10-19 15:48:00,0,NA,NA
"2","12_B2","B2",12,"A_9701_0N","PCC_9701","Axenic",8,24.9,25.9,2.71,3.71,0,2021-10-19 15:48:00,0,NA,NA
"3","12_C2","C2",12,"X_NIES_0N","NIES_843","Xenic",8,25,26,3.28,4.28,0,2021-10-19 15:48:00,0,NA,NA
"4","12_D2","D2",12,"X_9701_0N","PCC_9701","Xenic",8,27.7,28.7,1.05,2.05,0,2021-10-19 15:48:00,0,NA,NA
"5","12_E2","E2",12,"A_MUT_0N","MUT_7806","Axenic",8,20.4,21.4,1.79,2.79,0,2021-10-19 15:48:00,0,NA,NA
"6","12_B3","B3",12,"X_MUT_0N","MUT_7806","Xenic",8,32.8,33.8,1.75,2.75,0,2021-10-19 15:48:00,0,NA,NA
"7","12_C3","C3",12,"X_WT_0N","WT_7806","Xenic",8,20.9,21.9,1.63,2.63,0,2021-10-19 15:48:00,0,NA,NA
"8","12_D3","D3",12,"A_WT_0N","WT_7806","Axenic",8,30.8,31.8,1.2,2.2,0,2021-10-19 15:48:00,0,NA,NA
"9","12_E3","E3",12,"A_NIES_0N","NIES_843","Axenic",8,24.4,25.4,1.64,2.64,0,2021-10-19 15:48:00,0,NA,NA
"10","12_B4","B4",12,"X_NIES_425N","NIES_843","Xenic",425,44.2,45.2,2.5,3.5,0,2021-10-19 15:48:00,0,NA,NA
"11","12_C4","C4",12,"X_9701_425N","PCC_9701","Xenic",425,19.1,20.1,0.55,1.55,0,2021-10-19 15:48:00,0,NA,NA
"12","12_D4","D4",12,"X_WT_425N","WT_7806","Xenic",425,25.5,26.5,1.57,2.57,0,2021-10-19 15:48:00,0,NA,NA
"13","12_E4","E4",12,"A_NIES_425N","NIES_843","Axenic",425,22.8,23.8,1.93,2.93,0,2021-10-19 15:48:00,0,NA,NA
"14","12_B5","B5",12,"X_MUT_425N","MUT_7806","Xenic",425,22.6,23.6,2.25,3.25,0,2021-10-19 15:48:00,0,NA,NA
"15","12_C5","C5",12,"A_9701_425N","PCC_9701","Axenic",425,20.4,21.4,1.7,2.7,0,2021-10-19 15:48:00,0,NA,NA
"16","12_D5","D5",12,"A_WT_425N","WT_7806","Axenic",425,28.3,29.3,2,3,0,2021-10-19 15:48:00,0,NA,NA
"17","12_E5","E5",12,"A_MUT_425N","MUT_7806","Axenic",425,17.3,18.3,1.69,2.69,0,2021-10-19 15:48:00,0,NA,NA
"18","12_B6","B6",12,"X_WT_2950N","WT_7806","Xenic",2760,15.3,16.3,2.25,3.25,0,2021-10-19 15:48:00,0,NA,NA
"19","12_C6","C6",12,"A_9701_2950N","PCC_9701","Axenic",2760,11,12,1.35,2.35,0,2021-10-19 15:48:00,0,NA,NA
