Treatment_name,Well,Plate,Culture,State,Media type,P_ug_L,N_ug_L
BLANK,B1,20,Media_CTRL,,COMBO,,
A_9701_1P,B2,20,PCC_9701,Axenic,COMBO,1.1,14000
X_MUT_1P,B3,20,MUT_7806,Xenic,COMBO,1.1,14000
X_NIES_19P,B4,20,NIES_843,Xenic,COMBO,18.7,14000
X_MUT_19P,B5,20,MUT_7806,Xenic,COMBO,18.7,14000
X_WT_48P,B6,20,WT_7806,Xenic,COMBO,47.6,14000
A_NIES_48P,B7,20,NIES_843,Axenic,COMBO,47.6,14000
BLANK,B8,20,Media_CTRL,,COMBO,,
X_NIES_1P,C2,20,NIES_843,Xenic,COMBO,1.1,14000
X_WT_1P,C3,20,WT_7806,Xenic,COMBO,1.1,14000
X_9701_19P,C4,20,PCC_9701,Xenic,COMBO,18.7,14000
A_9701_19P,C5,20,PCC_9701,Axenic,COMBO,18.7,14000
A_9701_48P,C6,20,PCC_9701,Axenic,COMBO,47.6,14000
X_NIES_48P,C7,20,NIES_843,Xenic,COMBO,47.6,14000
X_9701_1P,D2,20,PCC_9701,Xenic,COMBO,1.1,14000
A_WT_1P,D3,20,WT_7806,Axenic,COMBO,1.1,14000
X_WT_19P,D4,20,WT_7806,Xenic,COMBO,18.7,14000
A_WT_19P,D5,20,WT_7806,Axenic,COMBO,18.7,14000
X_9701_48P,D6,20,PCC_9701,Xenic,COMBO,47.6,14000
A_MUT_48P,D7,20,MUT_7806,Axenic,COMBO,47.6,14000
BLANK,E1,20,Media_CTRL,,COMBO,,
A_MUT_1P,E2,20,MUT_7806,Axenic,COMBO,1.1,14000
A_NIES_1P,E3,20,NIES_843,Axenic,COMBO,1.1,14000
A_NIES_19P,E4,20,NIES_843,Axenic,COMBO,18.7,14000
A_MUT_19P,E5,20,MUT_7806,Axenic,COMBO,18.7,14000
A_WT_48P,E6,20,WT_7806,Axenic,COMBO,47.6,14000
X_MUT_48P,E7,20,MUT_7806,Xenic,COMBO,47.6,14000
BLANK,E8,20,Media_CTRL,,COMBO,,
BLANK,B1,21,Media_CTRL,,COMBO,,
X_WT_10P,B2,21,WT_7806,Xenic,COMBO,9.6,14000
