Well ID,Name,Well,PC_100,chlA_150,Reading Date/Time
BLK,,B1,0.4,17.2,10/22/2021 10:59
,,E1,0.9,11.2,
,,B8,0.95,16.8,
,,E8,0.563,16.5,
SPL1,,B2,1.39,14.4,10/22/2021 10:59
SPL2,,C2,1.28,34.9,10/22/2021 10:59
SPL3,,D2,0.821,33.2,10/22/2021 10:59
SPL4,,E2,0.5,27.8,10/22/2021 10:59
SPL5,,B3,2.33,35.7,10/22/2021 10:59
SPL6,,C3,0.643,17.9,10/22/2021 10:59
SPL7,,D3,1.5,23.3,10/22/2021 10:59
SPL8,,E3,0.542,14.7,10/22/2021 10:59
SPL9,,B4,1.66,25.1,10/22/2021 10:59
SPL10,,C4,0.7,25.6,10/22/2021 10:59
SPL11,,D4,3.89,31.9,10/22/2021 10:59
SPL12,,E4,3.89,36.9,10/22/2021 10:59
SPL13,,B5,3.33,30.8,10/22/2021 10:59
SPL14,,C5,0.85,24.9,10/22/2021 10:59
SPL15,,D5,4.88,34.7,10/22/2021 10:59
SPL16,,E5,4.89,32.1,10/22/2021 10:59
SPL17,,B6,2.56,24.9,10/22/2021 10:59
SPL18,,C6,4.56,39.5,10/22/2021 10:59
SPL19,,D6,1.85,34.9,10/22/2021 10:59
SPL20,,E6,3.78,45.6,10/22/2021 10:59
SPL21,,B7,0.75,36.7,10/22/2021 10:59
SPL22,,C7,5.11,61.8,10/22/2021 10:59
SPL23,,D7,4.22,31.3,10/22/2021 10:59
SPL24,,E7,3.56,20.9,10/22/2021 10:59
