Well ID,Name,Well,PC_150,chlA_150,Reading Date/Time
BLK,,B1,28.3,40.3,12/11/2021 12:50
,,E1,27.9,49.1,
,,B8,29.9,43.7,
,,E8,15.1,46.2,
SPL1,,B2,126,69.7,12/11/2021 12:50
SPL2,,C2,120,57.1,12/11/2021 12:50
SPL3,,D2,95.3,48.3,12/11/2021 12:50
SPL4,,E2,157,84.8,12/11/2021 12:50
SPL5,,B3,72.7,60.7,12/11/2021 12:50
SPL6,,C3,110,65.7,12/11/2021 12:50
SPL7,,D3,83.4,47.3,12/11/2021 12:50
SPL8,,E3,154,88.7,12/11/2021 12:50
SPL9,,B4,120,54.9,12/11/2021 12:50
SPL10,,C4,104,42.7,12/11/2021 12:50
SPL11,,D4,172,81.3,12/11/2021 12:50
SPL12,,E4,86.1,58.1,12/11/2021 12:50
SPL13,,B5,118,62.6,12/11/2021 12:50
SPL14,,C5,165,83.3,12/11/2021 12:50
SPL15,,D5,66.3,44.7,12/11/2021 12:50
SPL16,,E5,109,62.6,12/11/2021 12:50
SPL17,,B6,57.2,55.8,12/11/2021 12:50
SPL18,,C6,82.7,57.6,12/11/2021 12:50
SPL19,,D6,58.4,53.8,12/11/2021 12:50
SPL20,,E6,65.3,39,12/11/2021 12:50
SPL21,,B7,80.2,54,12/11/2021 12:50
SPL22,,C7,75.2,47.3,12/11/2021 12:50
SPL23,,D7,55.4,36.6,12/11/2021 12:50
SPL24,,E7,55.4,55.2,12/11/2021 12:50
